ID,Nombre_Estacion,Cod_Postal,Ubicación,Dirección,Fecha alta
1,Pº Recoletos,28004,Paseo De Recoletos,Frente calle Almirante,40609
2,Carlos V,28012,Plaza Del Emperador Carlos V,Pza del Emperador Carlos V/ Infanta Isabel,36130
3,Plaza del Carmen,28013,Plaza Del Carmen,Plaza del Carmen,36465
4,Plaza de España,28008,Plaza De España,Frente Edificio España,36130
5,Bº del Pilar,28029,Avenida De Monforte De Lemos,Monforte Lemos-Av.Betanzos-La Vaguada,36318
6,Gregorio Marañón,28010,Paseo De La Castellana,Lateral Pº Castellana-C/Miguel Angel,36312
8,Escuelas Aguirre,28009,Calle De Alcala,Alcala-Odonnell,36130
10,Cuatro Caminos,28003,Avenida De Pablo Iglesias,Av.Pablo Iglesias-PºS.Fco de Sales,36244
11,Ramón y Cajal,28002,Calle Del Principe De Vergara,Ppe.Vergara-Parque Berlín,36130
12,Manuel Becerra,28028,Calle Del Doctor Gomez Ulla,Dr.Gómez Ulla-Jardines Eva Duarte,36130
13,Vallecas,28018,Calle Del Arroyo Del Olivar,C/Arroyo del Olivar-Rio San Lorenzo,36475
14,Fernández Ladreda,28026,Plaza  Eliptica,"Plaza Fernández Ladreda, 4",40169
16,Arturo Soria,28027,Calle Del Vizconde De Los Asilos,C/Vizconde de los Asilos,36130
17,Villaverde,28021,Calle De Juan Peñalver,C/ Juan Peñalver,36130
18,Farolillo,28019,Calle Del Farolillo,C/ Farolillo,36130
19,Alto Extremadura,28011,Calle De La Huerta De Castañeda,C/Huerta Castañeda,36130
20,Avda Moratalaz,28030,Avenida De Moratalaz,Av.Moratalaz-Camino Vinateros,36130
24,Casa de Campo,28011,Carretera Del Teleferico,Junto a Teleférico-Cerro de las Animas,36130
25,Santa Eugenia,28031,Calle De Poza De La Sal,C/ Poza de la Sal,36130
26,Embajada,28042,Calle De Soto Hidalgo,"Parque Soto Hidalgo, 2",40605
27,Barajas Pueblo,28042,Calle De Jupiter,Júpiter (frente al 21),37400
28,Cuatro Vientos,28044,Avenida De La Aviacion,Avd. de la Aviación,37741
29,El Pardo,28048,Avenida De La Guardia,Avd. de la Guardia,37895
30,Campo de las Naciones,28042,Calle De La Ribera Del Sena,Rivera del Sena S/N,37935
31,Sanchinarro,28050,Calle De La Princesa De Eboli,C/ Princesa de Évoli esq. C/ María Tudor,40008
47,Mendez Álvaro,28045,Calle De Juan De Mariana,C/ Juan de Mariana-Pz Amanecer en Méndez Álvaro,40196
48,Castellana,28006,Calle De Jose Gutierrez Abascal,C/ José Gutierrez Abascal,40302
50,Pza de Castilla,28046,Plaza De Castilla,Plaza Castilla (Canal),40602
54,Ensanche de Vallecas,28051,Avenida De La Gavia,Avda. de Gavia / Avda. de las Suertes,40162
55,Urb Embajada 2,"28947
",Calle De Riaño,C/ Riaño,40254
86,Tres Olivos,28034,Plaza De Los Tres Olivos,Plaza de Tres Olivos,40217
